,dist_code,month,sector,investment in cr,number_of_employees,district,Mmm,quarter,fiscal_year
456,14_4,2023-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.8079,10,Wanaparthy,Jan,Q4,2022
457,22_2,2023-01-01,Others,1.77,50,Bhadradri Kothagudem,Jan,Q4,2022
458,22_2,2023-01-01,Beverages,0.14,2,Bhadradri Kothagudem,Jan,Q4,2022
459,14_5,2023-01-01,Pharmaceuticals and Chemicals,0.4,10,Narayanpet,Jan,Q4,2022
460,14_5,2023-01-01,Others,7.3145,15,Narayanpet,Jan,Q4,2022
461,14_5,2023-01-01,Food Processing,1.9387,30,Narayanpet,Jan,Q4,2022
462,20_2,2023-01-01,Food Processing,4.095,59,Jagtial,Jan,Q4,2022
463,20_2,2023-01-01,Beverages,0.1,4,Jagtial,Jan,Q4,2022
464,21_6,2023-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.19,5,Mulugu,Jan,Q4,2022
465,21_2,2023-01-01,Food Processing,4.527,30,Warangal,Jan,Q4,2022
466,21_2,2023-01-01,Plastic and Rubber,0.85,20,Warangal,Jan,Q4,2022
467,21_2,2023-01-01,Others,0.14,1,Warangal,Jan,Q4,2022
468,21_2,2023-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.76,9,Warangal,Jan,Q4,2022
469,18_1,2023-01-01,Engineering,0.14,4,Nizamabad,Jan,Q4,2022
470,17_3,2023-01-01,Wood and Leather,0.25,25,Siddipet,Jan,Q4,2022
471,17_3,2023-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.155,12,Siddipet,Jan,Q4,2022
472,17_3,2023-01-01,Engineering,33.4861,261,Siddipet,Jan,Q4,2022
473,17_3,2023-01-01,Food Processing,1.53,16,Siddipet,Jan,Q4,2022
474,17_3,2023-01-01,Plastic and Rubber,13.5001,19,Siddipet,Jan,Q4,2022
475,17_3,2023-01-01,R&D,16.55,100,Siddipet,Jan,Q4,2022
476,21_7,2023-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.195,8,Jayashankar Bhupalpally,Jan,Q4,2022
477,16_1,2023-01-01,Textiles,0.25,10,Hyderabad,Jan,Q4,2022
478,16_1,2023-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.8,25,Hyderabad,Jan,Q4,2022
479,21_1,2023-01-01,Food Processing,0.9258,19,Hanumakonda,Jan,Q4,2022
480,21_1,2023-01-01,Others,2.9269,32,Hanumakonda,Jan,Q4,2022
481,21_1,2023-01-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.9017,30,Hanumakonda,Jan,Q4,2022
